,CityName,City_id,Country,Latitude,Max_Temperature,Humidity,Cloudiness,WindSpeed
155,Weligama,1223738,LK,5.97,83.06,80,84,14.2
156,Sawakin,367544,SD,19.1,93.2,44,0,6.93
157,Husavik,2629833,IS,66.04,50.0,87,90,4.7
158,Ribeira Grande,3372707,PT,38.52,68.48,88,0,7.05
159,Kentau,1522751,KZ,43.52,66.32,32,26,3.33
160,Barrow,4252975,US,39.51,90.0,62,40,12.75
161,Grindavik,3416888,IS,63.84,52.0,81,90,6.93
162,North Branch,5039421,US,45.51,84.2,61,40,8.05
163,Longyearbyen,2729907,SJ,78.22,44.6,75,75,5.82
164,Lompoc,5367788,US,34.64,75.99,77,1,14.99
165,Aykhal,2027296,RU,65.95,50.0,66,90,6.71
166,Jiwani,1175712,PK,25.05,84.32,79,29,7.76
167,Orlik,1496073,RU,52.51,51.92,85,93,5.37
168,Carutapera,3402648,BR,-1.2,78.92,82,13,6.17
169,Poum,2138555,NC,-20.23,72.62,64,63,4.68
170,Touros,3386213,BR,-5.2,77.0,94,40,3.36
171,Leh,1264976,IN,34.16,34.1,46,0,3.02
172,Manavalakurichi,1263942,IN,8.13,78.8,94,40,3.36
173,Geraldton,2070998,AU,-28.77,64.4,82,63,16.11
174,Sambava,1056899,MG,-14.27,63.44,92,0,3.58
175,Saldanha,3361934,ZA,-33.01,50.0,87,0,8.99
176,Homnabad,1269979,IN,17.77,72.98,86,100,15.84
177,Labelle,5994763,CA,46.28,72.26,64,53,3.49
178,Clyde River,5924351,CA,70.47,35.6,93,90,11.41
179,Komsomolskiy,1486910,RU,67.55,70.1,67,26,10.16
180,Paita,3694112,PE,-5.09,62.6,290,0,9.17
181,Vila Velha,6320062,BR,-3.71,78.8,83,40,6.93
182,Sukumo,1851462,JP,32.94,74.06,85,100,10.83
183,Ketchikan,5554428,US,55.34,57.2,87,90,16.11
184,Sept-Iles,6144312,CA,50.2,64.4,72,40,9.17
185,Ostrovnoy,556268,RU,68.05,47.42,97,100,6.08
186,Praia da Vitoria,3372760,PT,38.73,70.0,88,75,9.17
187,Mahebourg,934322,MU,-20.41,69.8,88,40,6.93
188,Antalaha,1071296,MG,-14.9,62.0,97,8,4.36
189,Yuanping,1786060,CN,38.72,70.64,44,0,3.56
190,Katherine,2068655,AU,-14.47,57.2,50,0,1.12
191,Poplar Bluff,4404233,US,36.76,90.0,62,1,6.93
192,Porto Velho,3662762,BR,-8.75,77.0,61,75,11.41
193,Klaksvik,2618795,FO,62.23,50.0,100,100,10.29
194,Terrace Bay,6162951,CA,48.78,64.34,77,83,2.44
195,Athabasca,5887916,CA,54.72,64.88,39,70,10.22
196,Beringovskiy,2126710,RU,63.05,68.84,39,0,10.45
197,Morondava,1058381,MG,-20.3,75.14,68,0,15.95
198,Kavaratti,1267390,IN,10.57,82.16,81,100,17.31
199,Sechura,3691954,PE,-5.56,64.88,85,15,14.79
200,Lavrentiya,4031637,RU,65.58,64.52,49,0,14.79
201,Avanigadda,1278122,IN,16.02,84.32,62,96,8.93
202,Clarence Town,3572640,BS,23.1,84.14,64,6,6.08
203,Bahawalpur,1183880,PK,29.39,97.64,23,0,7.87
204,Kem,551145,RU,64.96,53.18,88,61,5.7
205,Klichka,2021992,RU,50.44,67.94,57,44,13.91
206,Broken Hill,2173911,AU,-31.97,41.0,86,0,6.93
207,Yulara,6355222,AU,-25.24,39.2,44,0,8.05
208,Soure,3387204,BR,-0.72,75.68,91,7,5.7
209,Bud,7626370,NO,62.91,46.4,87,75,18.34
210,Vallenar,3868633,CL,-28.58,56.42,49,11,2.24
211,Tuatapere,2180815,NZ,-46.13,46.0,83,93,5.99
212,Aktau,610612,KZ,43.65,64.4,82,0,6.71
213,Ekibastuz,1524325,KZ,51.72,65.06,66,83,14.27
214,Zhigansk,2012530,RU,66.77,53.9,48,50,8.66
215,Porto Novo,3374336,CV,17.02,75.2,78,20,17.22
216,Oksfjord,778362,NO,70.24,48.2,100,90,6.93
217,Bilibino,2126682,RU,68.06,52.64,52,98,3.22
218,Ponta do Sol,3374346,CV,17.2,77.0,73,20,20.8
219,Ilinskoye-Khovanskoye,557060,RU,56.97,55.4,93,90,13.42
220,Teknaf,1185095,BD,20.86,84.68,80,100,15.86
221,Maningrida,2067089,AU,-12.05,71.0,60,0,9.55
222,Torbay,6167817,CA,47.66,55.0,81,90,12.75
223,Bullhead City,5287565,US,35.15,105.8,4,75,19.46
224,Sisimiut,3419842,GL,66.94,39.5,91,90,12.24
225,Khatanga,2022572,RU,71.98,56.24,85,96,8.19
226,Nemuro,2128975,JP,43.32,53.0,97,99,4.03
227,Vanavara,2013727,RU,60.35,66.68,48,0,0.27
228,Pontes e Lacerda,3453060,BR,-15.23,73.52,74,75,4.43
229,Gunnedah,2164206,AU,-30.98,57.2,71,4,9.17
230,Sao Felix do Xingu,3388847,BR,-6.64,75.5,72,93,1.07
231,Kieta,2094027,PG,-6.22,83.6,67,63,4.05
232,Samarai,2132606,PG,-10.62,76.94,75,73,6.33
233,Mvuma,884814,ZW,-19.28,50.66,81,0,6.11
